Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,Avg_Time_Sec
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,1.0266829754386264,0.277863142055001,0.369249913231299,0.434,3.6821606095010893,0.534,0.0003578662872314453
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.6424385738817123,0.005351017300408758,0.00024956939100959357,0.706,0.0,1.0,0.006912946701049805
GPT-4o-mini,0,0.27505852091003363,0.24742664191211605,0.24674207806139317,0.18686672658309433,0.24696922604463664,0.6992417679827514,0.3879624245708335,0.5107843819760993,1.01549050275731,0.28709614048719584,0.34942638865266407,0.33,5.608978959701369,0.444,14.31166124343872
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.625627743296889,0.4065675790898944,0.9753736978127985,0.3,6.258816391281491,0.248,0.0003619194030761719
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.6624005826256364,0.0067676058464909055,0.00033597306686869124,0.714,0.016177691798554314,0.908,0.005587100982666016
GPT-4o-mini,1,0.1499933261545213,0.15243250949895445,0.1515608046007669,0.11843384822732057,0.1517559859993538,0.40531001200863226,0.25865251496079866,0.3305023052367315,0.8409916901808281,0.18280014451466825,0.22773706619006956,0.608,1.9388537787881597,0.798,12.32022762298584
Random Guess,2,0.23401488908156667,0.25399905437048037,0.22874987539636824,0.21100710424497585,0.23184390376544828,0.4205063768159064,0.301025418109588,0.3907196917254871,0.872517932481565,0.22456342516513447,0.2530945941893842,0.476,3.5138068690850277,0.476,0.0003457069396972656
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.6011515138549294,0.005901898238217066,0.00022120139032469392,0.74,0.0,1.0,0.0054340362548828125
GPT-4o-mini,2,0.24813057644083256,0.2377488641343383,0.2365865225058376,0.1794694711282185,0.2367604516222599,0.6288717642322414,0.37090541486058826,0.488897747491883,0.9357189857641084,0.25826302968166015,0.3046844859884856,0.32,5.940870180544105,0.394,13.377274990081787
Random Guess,3,0.4331851816949143,0.3383180732159276,0.277567895142902,0.2677441403829183,0.288964101083153,0.31333167174585363,0.2322401249388368,0.290515499154224,0.8901242642129081,0.21575166263876774,0.25227919749285505,0.52,2.9146266018780924,0.464,0.00034880638122558594
Baseline MLE,3,0.00020266338396747604,0.005799688129716921,0.004781790945660695,0.005831830795789884,0.005223726512461555,0.000206876490172544,0.005395641430406485,0.005359536038727479,0.6406788154644919,0.005234213757223011,0.0002801645417101371,0.716,0.0,1.0,0.005444049835205078
GPT-4o-mini,3,0.10453043539928432,0.1317599752454494,0.13074207806139318,0.1024851457788421,0.13118401362819407,0.23859697275898448,0.20453406687262127,0.2598425862941147,0.7344110217171326,0.11455730940671208,0.09874098015024563,0.626,1.1619198240371402,0.74,13.099469661712646
Random Guess,4,0.4869078758090481,0.31334591336925766,0.2850791614250585,0.2549872351406263,0.2947342497935867,0.39590583715277416,0.25605188990543337,0.3121407886703036,0.8497528901590329,0.197879261607035,0.26585067891778014,0.636,1.7898898360643025,0.826,0.0003540515899658203
Baseline MLE,4,0.00011650882301695633,0.00593321902171358,0.005275915624733778,0.004936231702861997,0.005430695785734897,7.223679946696727e-05,0.0034619579197516506,0.004049610422080018,0.56745136475578,0.00547177941680285,0.00021379945134755474,0.764,0.011957424372844493,0.932,0.005547046661376953
GPT-4o-mini,4,0.05547994704755682,0.09512263832866458,0.09446533493168478,0.07471287023593666,0.09462011509268588,0.14892218766972254,0.16131758885727623,0.2019403200350731,0.7985493730249773,0.16404496437717467,0.2124289700235604,0.608,2.14035826382062,0.786,14.223398923873901
